,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
"log_lik[4,4,6]",-0.201939,0.00227119,0.136102,0.109167,-0.46027,-0.169691,-0.0476628,4066.2,3505.16,1.0016
"log_lik[4,4,7]",0.0,,0.0,0.0,0.0,0.0,0.0,,,
"log_lik[4,4,8]",-0.215344,0.00254616,0.145269,0.110857,-0.487571,-0.181222,-0.0542201,3798.63,3504.07,1.00252
"log_lik[4,4,9]",-0.307833,0.00345158,0.195374,0.157493,-0.674982,-0.265694,-0.0827609,3674.46,3239.79,1.00253
"log_lik[4,4,10]",-0.494322,0.00510507,0.28308,0.238993,-1.04353,-0.434476,-0.149311,3345.74,2935.91,1.00222
"log_lik[4,4,11]",-0.91166,0.00776386,0.410851,0.406966,-1.68064,-0.856901,-0.338804,2945.54,3328.08,1.00337
"log_lik[4,4,12]",-1.30592,0.0108104,0.578928,0.557512,-2.38144,-1.21928,-0.529512,2796.74,3228.9,1.00261
"log_lik[4,4,13]",-0.278899,0.00377864,0.188659,0.171423,-0.660116,-0.237853,-0.0557622,2812.69,3090.9,1.00182
"log_lik[4,4,14]",-0.151522,0.00237824,0.120285,0.0971998,-0.405616,-0.119107,-0.0219421,3047.12,3018.02,1.00218
"log_lik[4,4,15]",-0.0837455,0.0014601,0.0764506,0.054306,-0.240864,-0.0605918,-0.00891934,3463.46,3062.45,1.00184
"log_lik[4,4,16]",-0.0652589,0.000979108,0.0564412,0.0433415,-0.176557,-0.0494553,-0.00749574,3776.92,3258.67,1.00135
"log_lik[4,4,17]",-0.0365504,0.000600625,0.0367413,0.0238412,-0.108826,-0.0254182,-0.00306748,3878.63,3412.11,1.00128
"log_lik[4,4,18]",0.0,,0.0,0.0,0.0,0.0,0.0,,,
"log_lik[4,4,19]",-0.0132397,0.000278745,0.0173692,0.00834465,-0.044794,-0.00758689,-0.000537529,4034.79,3736.56,1.00107
"log_lik[4,4,20]",-0.0120574,0.000257268,0.0161609,0.00747919,-0.0411973,-0.00675568,-0.000478305,4143.69,3702.9,1.00059
"log_lik[4,4,21]",-0.00753968,0.000180913,0.0113085,0.00455255,-0.0272279,-0.00388615,-0.000208031,4215.59,3666.92,1.00037
